old_url,new_url,status,redirect_required,notes
/p/about-us.html,/about.html,confirmed,yes,Static Page: About Us mapped to editorial mission & methodology
/p/about.html,/about.html,confirmed,yes,Static Page: About alias mapped to editorial mission & methodology
/p/contact.html,/contact.html,confirmed,yes,Static Page: Contact Us mapped to contact page
/p/contact-us.html,/contact.html,confirmed,yes,Static Page: Contact Us alias mapped to contact page
/p/privacy-policy.html,/privacy-policy.html,confirmed,yes,Static Page: Privacy Policy mapped to FTC disclosure & privacy policy
/p/privacy.html,/privacy-policy.html,confirmed,yes,Static Page: Privacy alias mapped to FTC disclosure & privacy policy
/p/disclaimer.html,/privacy-policy.html,confirmed,yes,Static Page: Disclaimer mapped to privacy & disclaimer policy
/p/affiliate-disclosure.html,/privacy-policy.html,confirmed,yes,Static Page: Affiliate disclosure mapped to privacy policy
/p/terms.html,/privacy-policy.html,confirmed,yes,Static Page: Terms alias mapped to legal policy
/p/terms-and-conditions.html,/privacy-policy.html,confirmed,yes,Static Page: Terms & Conditions mapped to legal policy
/p/terms-of-service.html,/privacy-policy.html,confirmed,yes,Static Page: Terms of Service mapped to legal policy
/p/editorial-policy.html,/about.html,confirmed,yes,Static Page: Editorial Policy mapped to methodology
/p/methodology.html,/about.html,confirmed,yes,Static Page: Methodology mapped to methodology
/search/label/Laptops,/categories/laptops.html,confirmed,yes,Taxonomy: Laptops category archive redirect
/search/label/Smartphones,/categories/smartphones.html,confirmed,yes,Taxonomy: Smartphones category archive redirect
/search/label/Audio,/categories/audio.html,confirmed,yes,Taxonomy: Audio category archive redirect
/search/label/Gaming,/categories/gaming.html,confirmed,yes,Taxonomy: Gaming category archive redirect
/search/label/Smart%20Home,/categories/smart-home.html,confirmed,yes,Taxonomy: Smart Home category archive redirect
/search/label/Accessories,/categories/accessories.html,confirmed,yes,Taxonomy: Accessories category archive redirect
/search/label/Reviews,/reviews/,confirmed,yes,Taxonomy: Reviews archive redirect
/search/label/Guides,/guides/,confirmed,yes,Taxonomy: Buying Guides archive redirect
/search/label/Tablets,/guides/best-tablets-for-students.html,confirmed,yes,Taxonomy: Tablets label redirected to student tablet guide
/2026/06/apple-macbook-air-m5-review-worth-1099.html,/reviews/apple-macbook-air-m5-review.html,confirmed,yes,Apple MacBook Air M5 Review: 1:1 match
/2026/06/sony-wf-1000xm6-vs-airpods-pro-3-which.html,/comparisons/sony-wf-1000xm6-vs-airpods-pro-3.html,confirmed,yes,Sony WF-1000XM6 vs AirPods Pro 3: 1:1 match
/2026/06/best-power-banks-2026-fast-charging.html,/guides/best-power-banks.html,confirmed,yes,Best Power Banks 2026: 1:1 match
/2026/07/best-laptops-under-1000-in-2026-top-5.html,/guides/best-laptops-under-1000.html,confirmed,yes,Best Laptops Under $1000: 1:1 match
